index,open,high,low,close,volume,value
2023-01-10 05:53:00,21700000.0,21702000.0,21700000.0,21702000.0,0.40294512,8744035.5014
2023-01-10 05:54:00,21702000.0,21711000.0,21701000.0,21703000.0,1.07476007,23323743.13193
2023-01-10 05:55:00,21711000.0,21711000.0,21701000.0,21701000.0,1.38761092,30113291.77396
2023-01-10 05:56:00,21701000.0,21701000.0,21694000.0,21697000.0,7.75122205,168199100.30758
2023-01-10 05:57:00,21694000.0,21697000.0,21694000.0,21694000.0,0.34768193,7542667.15877
2023-01-10 05:58:00,21693000.0,21693000.0,21686000.0,21689000.0,1.31914462,28611381.04207
2023-01-10 05:59:00,21687000.0,21697000.0,21685000.0,21697000.0,1.04844977,22739312.30959
2023-01-10 06:00:00,21711000.0,21711000.0,21697000.0,21697000.0,1.05145676,22821311.42414
2023-01-10 06:01:00,21697000.0,21697000.0,21694000.0,21694000.0,0.46380368,10062915.10972
2023-01-10 06:02:00,21696000.0,21697000.0,21690000.0,21690000.0,0.1171324,2541196.95195
2023-01-10 06:03:00,21690000.0,21690000.0,21687000.0,21687000.0,0.946278,20524684.33996
2023-01-10 06:04:00,21689000.0,21689000.0,21685000.0,21686000.0,1.35013291,29279226.79069
2023-01-10 06:05:00,21686000.0,21691000.0,21685000.0,21691000.0,3.3131985,71849800.33144
2023-01-10 06:06:00,21691000.0,21691000.0,21686000.0,21687000.0,0.65394352,14182325.97068
2023-01-10 06:07:00,21687000.0,21687000.0,21685000.0,21686000.0,1.84460888,40002244.66253
2023-01-10 06:08:00,21687000.0,21687000.0,21685000.0,21687000.0,1.57164291,34082726.58374
2023-01-10 06:09:00,21687000.0,21687000.0,21685000.0,21685000.0,0.32221489,6987363.70695
2023-01-10 06:10:00,21687000.0,21687000.0,21683000.0,21684000.0,1.62343949,35205180.3084
2023-01-10 06:11:00,21685000.0,21685000.0,21681000.0,21682000.0,1.93034403,41856230.71088
2023-01-10 06:12:00,21682000.0,21690000.0,21681000.0,21681000.0,6.00657416,130266521.33395
2023-01-10 06:13:00,21682000.0,21689000.0,21681000.0,21681000.0,3.47324884,75309409.37739
2023-01-10 06:14:00,21689000.0,21689000.0,21681000.0,21689000.0,1.10839942,24035583.36478
2023-01-10 06:15:00,21689000.0,21690000.0,21681000.0,21690000.0,1.45427703,31541486.4306
2023-01-10 06:16:00,21690000.0,21690000.0,21683000.0,21685000.0,1.07853776,23387677.16066
2023-01-10 06:17:00,21686000.0,21691000.0,21686000.0,21690000.0,2.30193453,49929176.22659
2023-01-10 06:18:00,21686000.0,21686000.0,21685000.0,21686000.0,1.08177497,23459123.08079
2023-01-10 06:19:00,21686000.0,21690000.0,21686000.0,21688000.0,0.62766664,13613051.50879
2023-01-10 06:20:00,21690000.0,21709000.0,21688000.0,21709000.0,0.79966555,17350835.38292
2023-01-10 06:21:00,21709000.0,21710000.0,21704000.0,21710000.0,1.40666591,30537005.86559
2023-01-10 06:22:00,21710000.0,21720000.0,21710000.0,21717000.0,1.21237834,26327437.58206
2023-01-10 06:23:00,21717000.0,21724000.0,21717000.0,21720000.0,0.65948018,14323221.91908
2023-01-10 06:24:00,21724000.0,21730000.0,21720000.0,21720000.0,0.78315574,17010615.60867
2023-01-10 06:25:00,21729000.0,21742000.0,21719000.0,21719000.0,0.61775073,13418187.1109
2023-01-10 06:26:00,21727000.0,21730000.0,21719000.0,21729000.0,1.58470775,34435120.87835
2023-01-10 06:27:00,21729000.0,21730000.0,21720000.0,21720000.0,0.50491808,10969163.70686
2023-01-10 06:28:00,21719000.0,21730000.0,21719000.0,21723000.0,1.05017568,22815675.24682
2023-01-10 06:29:00,21721000.0,21728000.0,21720000.0,21728000.0,0.80789441,17547892.06881
2023-01-10 06:30:00,21728000.0,21746000.0,21722000.0,21724000.0,1.81774628,39512921.79239
2023-01-10 06:31:00,21723000.0,21743000.0,21722000.0,21722000.0,1.26591781,27506117.16289
2023-01-10 06:32:00,21722000.0,21723000.0,21717000.0,21717000.0,1.9704084,42796577.21854
2023-01-10 06:33:00,21717000.0,21737000.0,21717000.0,21719000.0,0.66291469,14399869.32975
2023-01-10 06:34:00,21719000.0,21731000.0,21719000.0,21719000.0,1.23359663,26792500.38914
2023-01-10 06:35:00,21719000.0,21730000.0,21715000.0,21719000.0,3.86522528,83950787.73353
2023-01-10 06:36:00,21719000.0,21719000.0,21690000.0,21691000.0,5.03116565,109170086.52985
2023-01-10 06:37:00,21691000.0,21702000.0,21691000.0,21702000.0,2.01291661,43663573.73059
2023-01-10 06:38:00,21697000.0,21697000.0,21691000.0,21691000.0,1.64359134,35654095.2037
2023-01-10 06:39:00,21697000.0,21701000.0,21691000.0,21692000.0,1.66275124,36070757.56225
2023-01-10 06:40:00,21692000.0,21702000.0,21691000.0,21691000.0,2.34441894,50855569.08192
2023-01-10 06:41:00,21690000.0,21691000.0,21689000.0,21689000.0,2.33928121,50739149.13391
2023-01-10 06:42:00,21691000.0,21692000.0,21689000.0,21692000.0,0.22423651,4863917.24928
2023-01-10 06:43:00,21692000.0,21702000.0,21690000.0,21701000.0,0.34720989,7532139.28072
2023-01-10 06:44:00,21701000.0,21701000.0,21690000.0,21701000.0,0.31451659,6823075.79154
2023-01-10 06:45:00,21692000.0,21701000.0,21690000.0,21700000.0,0.72938262,15821328.96726
2023-01-10 06:46:00,21700000.0,21700000.0,21689000.0,21690000.0,1.17883608,25569556.88193
2023-01-10 06:47:00,21689000.0,21690000.0,21689000.0,21690000.0,0.72110101,15640194.55425
2023-01-10 06:48:00,21689000.0,21700000.0,21689000.0,21690000.0,0.27475836,5960350.35605
2023-01-10 06:49:00,21691000.0,21700000.0,21685000.0,21686000.0,1.9918371,43200565.77694
2023-01-10 06:50:00,21686000.0,21700000.0,21679000.0,21679000.0,3.35174205,72672485.92902
2023-01-10 06:51:00,21679000.0,21679000.0,21671000.0,21674000.0,1.61991253,35111271.03051
2023-01-10 06:52:00,21670000.0,21670000.0,21666000.0,21669000.0,3.06028679,66309286.91233
2023-01-10 06:53:00,21666000.0,21669000.0,21666000.0,21667000.0,0.49160316,10651828.19503
2023-01-10 06:54:00,21667000.0,21669000.0,21664000.0,21666000.0,0.85093851,18436592.27965
2023-01-10 06:55:00,21665000.0,21698000.0,21665000.0,21683000.0,2.53403924,54908488.96941
2023-01-10 06:56:00,21684000.0,21689000.0,21671000.0,21673000.0,0.96844101,20988621.28618
2023-01-10 06:57:00,21673000.0,21673000.0,21672000.0,21673000.0,1.17335506,25429830.88349
2023-01-10 06:58:00,21672000.0,21673000.0,21671000.0,21673000.0,1.90599783,41307493.04913
2023-01-10 06:59:00,21670000.0,21673000.0,21670000.0,21670000.0,0.75812146,16430289.17275
2023-01-10 07:00:00,21671000.0,21671000.0,21666000.0,21668000.0,0.46086525,9986380.23334
2023-01-10 07:01:00,21668000.0,21668000.0,21660000.0,21661000.0,3.58951454,77759862.58369
2023-01-10 07:02:00,21661000.0,21666000.0,21661000.0,21662000.0,0.9511738,20604403.40988
2023-01-10 07:03:00,21662000.0,21666000.0,21660000.0,21661000.0,2.42365216,52499632.50826
2023-01-10 07:04:00,21666000.0,21666000.0,21661000.0,21662000.0,0.5130748,11114221.5981
2023-01-10 07:05:00,21662000.0,21666000.0,21662000.0,21662000.0,0.23745819,5143892.64866
2023-01-10 07:06:00,21663000.0,21669000.0,21662000.0,21665000.0,1.02636712,22236190.7788
2023-01-10 07:07:00,21665000.0,21669000.0,21663000.0,21663000.0,0.53027346,11488714.6141
