product_id,img_path,brand,name,color1,color2,price_og,price_resell,n_scrap,+price,tokenized_color,tokenized_bn
40775,crawling\product_crawling\image\40775.jpg,Nike,Nike x Sacai VaporWaffle White and Gum,WHITE,SAIL-SAIL,219000,643800,11000.0,424800,[ 0  0  0  0  0  0  0  0  0  2  4  3 12 12],"[  0   0   0   0   0   0   0   0   0   0   0   2   4   3   4   9 161 499
  11  41 190]"
26197,crawling\product_crawling\image\26197.jpg,Nike,Nike x Sacai VaporWaffle Black White,BLACK,SUMMIT WHITE,219000,1443600,8919.0,1224600,[ 0  0  0  0  0  0  0  0  0  2  5  3 38  4],"[  0   0   0   0   0   0   0   0   0   0   0   0   2   4   3   4   9 161
 499  10  11]"
32264,crawling\product_crawling\image\32264.jpg,Nike,Nike ZoomX Vaporfly Next% 2 White Metallic Silver,WHITE,BLACK,269000,317600,2001.0,48600,[0 0 0 0 0 0 0 0 0 0 2 4 3 5],"[  0   0   0   0   0   0   0   0   0   0   2   4   3   4 379 403 147  39
  11  92  52]"
67188,crawling\product_crawling\image\67188.jpg,Nike,Nike x Supreme Shox Ride 2 SP White,WHITE,GREY FOG,231400,763800,5546.0,532400,[ 0  0  0  0  0  0  0  0  0  2  4  3  6 62],"[  0   0   0   0   0   0   0   0   0   0   2   4   3   4   9 139 593 948
  39  44  11]"
72410,crawling\product_crawling\image\72410.jpg,Nike,Nike x Stussy Air Max 2013 Black,BLACK,WHITE-BLACK,249000,203200,2056.0,-45800,[0 0 0 0 0 0 0 0 0 2 5 3 4 5],"[  0   0   0   0   0   0   0   0   0   0   0   2   4   3   4   9 188  16
  33 269  10]"
36489,crawling\product_crawling\image\36489.jpg,Nike,Nike Air VaporMax 2021 Flyknit Triple Black,BLACK,BLACK,239000,215000,2916.0,-24000,[0 0 0 0 0 0 0 0 0 0 2 5 3 5],"[  0   0   0   0   0   0   0   0   0   0   0   2   4   3   4  16 302 165
 132  65  10]"
45086,crawling\product_crawling\image\45086.jpg,Nike,Nike ACG Mountain Fly Gore-Tex Clay Green,CLAY GREEN,BLACK,259000,291600,1969.0,32600,[ 0  0  0  0  0  0  0  0  0  2 97 11  3  5],"[  0   0   0   0   0   0   0   0   0   0   2   4   3   4 140 250 242 117
 118 404  28]"
24901,crawling\product_crawling\image\24901.jpg,Nike,Nike x Stussy Air Zoom Spiridon Kukini White,WHITE,BLACK-HABANERO RED,209000,259000,4198.0,50000,[  0   0   0   0   0   0   0   0   2   4   3   5 163   7],"[  0   0   0   0   0   0   0   0   0   0   2   4   3   4   9 188  16  57
 745 746  11]"
61048,crawling\product_crawling\image\61048.jpg,Nike,Nike Dunk Low Retro Racer Blue and White,RACER BLUE,WHITE,129000,140000,16000.0,11000,[ 0  0  0  0  0  0  0  0  0  2 91  8  3  4],"[  0   0   0   0   0   0   0   0   0   0   2   4   3   4  32  14  15 124
  24  41  11]"
54960,crawling\product_crawling\image\54960.jpg,Nike,Nike Air Force 1 '07 LV8 2 Have a Nike Day,WHITE,BLACK,139000,155400,12000.0,16400,[0 0 0 0 0 0 0 0 0 0 2 4 3 5],"[  0   0   0   0   0   0   0   2   4   3   4  16  30  12  42 111  39 949
 197   4 258]"
70511,crawling\product_crawling\image\70511.jpg,Nike,Nike x Drake Nocta Hot Step Air Terra Black and Yellow,BLACK,UNIVERSITY GOLD,219000,180400,468.0,-38600,[ 0  0  0  0  0  0  0  0  0  2  5  3 19 20],"[   0    0    0    0    0    0    0    2    4    3    4    9  591  942
  500 1111   16  541   10   41   67]"
65868,crawling\product_crawling\image\65868.jpg,Nike,Nike x Union Cortez SP Sesame,GRAIN,PINK CLAY,159000,144800,4851.0,-14200,[  0   0   0   0   0   0   0   0   0   2 535   3  33  97],"[  0   0   0   0   0   0   0   0   0   0   0   0   2   4   3   4   9 329
 376  44 501]"
