,date,value,action,reward,balance,coin
69,,99596497.77708319,5.0,-0.21329541414855,149411072.93950856,-2.361160097756861
70,,99589414.29678991,1.0,-0.40664320750689703,149374159.80860576,-2.3598828060185757
71,,99575912.83600178,0.0,-0.20331781347739594,124472381.47187859,-1.1796975741162186
72,,99576633.71651697,7.0,-0.3,49780848.45179713,2.3592445261808934
73,,99569165.31005561,1.0,-0.975310967375003,149343790.6751321,-2.359067579075879
74,,99536796.87810306,1.0,-0.4065800691517653,149295237.777931,-2.357239541469783
75,,99523303.47956726,1.0,-0.584193326860737,149275001.8607471,-2.3567525510802354
76,,99503923.11075914,7.0,0.045919454506683846,49742009.25134903,2.3558473165887523
77,,99505750.04331154,7.0,-0.3,49742923.360074416,2.355332924072988
78,,99495798.38173017,1.0,-0.4775451511348394,149233747.49517402,-2.355097365060955
79,,99479960.56089628,6.0,-0.20324659187732907,74602508.04296477,1.177221913292818
80,,99470732.35031891,5.0,-0.0,74602508.04296477,1.177221913292818
81,,99470732.35031891,0.0,-0.4518124689341705,124338415.4920206,-1.1771962928154382
82,,99460726.23595195,7.0,0.48929103771357885,49722902.31273857,2.353208873230302
83,,99482680.54162991,6.0,-0.18546499255164592,74604547.36138602,1.1761684583200906
84,,99474041.32833517,1.0,0.07517616874356275,149203601.34103966,-2.352243877328269
85,,99479518.01819739,6.0,-0.345117436964784,74602179.1173653,1.1764927151023865
